,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
6045,DETACHED DUPLEX,Island,7,7,7,"400,000,000",SALE
6046,HOUSE FOR,..Yaba,0,0,0,"26,500,000",SALE
6047,SALE,Odofin,beds,baths,Toilets,"300,000,000",SALE
6048,HOUSE FOR,Ikosi,4,5,5,"75,000,000",SALE
6049,HOUSE FOR,Lekki,0,0,0,"32,000,000",SALE
6050,DETACHED DUPLEX,Ikoyi,6,6,7,"310,000,000",SALE
6051,HOUSE FOR,Egba,beds,baths,Toilets,"60,000,000",SALE
6052,DUPLEX HOUSE,-Gbagada,0,0,0,"50,000,000",SALE
6053,DETACHED DUPLEX,Ikoyi,5,5,6,"700,000,000",SALE
6054,DETACHED DUPLEX,Ajah,4,4,Toilets,"51,000,000",SALE
6055,BLOCKS OF,Ajah,2,3,3,"20,500,000",SALE
6056,HOUSE FOR,Ojodu,0,0,0,"27,000,000",SALE
6057,DETACHED DUPLEX,Lekki,5,5,6,"95,000,000",SALE
6058,DUPLEX HOUSE,Ikoyi,0,0,0,"320,000,000",SALE
6059,FLATS HOUSE,Alimosho,beds,baths,Toilets,"35,000,000",SALE
6060,DETACHED DUPLEX,Ikoyi,6,6,7,"310,000,000",SALE
6061,DETACHED DUPLEX,Lekki,4,4,5,"100,000,000",SALE
6062,DETACHED DUPLEX,Lekki,3,0,0,"80,000,000",SALE
6063,DETACHED DUPLEX,Ikoyi,5,5,5,"750,000,000",SALE
6064,HOUSE FOR,..Lekki,0,0,0,"50,000,000",SALE
6065,DETACHED DUPLEX,Gbagada,4,4,4,"25,000,000",SALE
6066,HOUSE FOR,Ajah,0,0,0,"38,000,000",SALE
6067,TERRACED DUPLEX,Ikoyi,5,5,6,"500,000,000",SALE
6068,FLATS HOUSE,Ikeja,beds,baths,Toilets,"65,000,000",SALE
6069,DETACHED BUNGALOW,Alimosho,4,4,3,"4,500,000",SALE
6070,FLATS HOUSE,Lekki,0,0,0,"2,000,000",SALE
6071,HOUSE FOR,Ajah,0,0,0,"20,000,000",SALE
6072,SEMI DETACHED,Lekki,5,6,6,"80,000,000",SALE
6073,DUPLEX HOUSE,Ikoyi,beds,baths,Toilets,"300,000,000",SALE
6074,DETACHED DUPLEX,Lekki,4,5,5,"69,000,000",SALE
6075,TERRACED DUPLEX,Ikeja,5,0,0,"75,000,000",SALE
6076,TERRACED DUPLEX,Lekki,4,4,6,"50,000,000",SALE
6077,HOUSE FOR,Lekki,0,0,0,"100,000,000",SALE
6078,DETACHED DUPLEX,Lekki,4,4,5,"75,000,000",SALE
6079,FLATS HOUSE,Ikeja,beds,baths,Toilets,"250,000,000",SALE
6080,FLATS HOUSE,Ikeja,0,0,0,"140,000,000",SALE
6081,DETACHED DUPLEX,Ajah,6,5,6,"50,000,000",SALE
6082,FLAT ,Yaba,3,3,4,"45,000,000",SALE
6083,DETACHED DUPLEX,Ajah,4,4,5,"50,000,000",SALE
6084,DETACHED DUPLEX,Ikeja,10,10,10,"180,000,000",SALE
6085,DUPLEX HOUSE,Lekki,0,0,0,"58,000,000",SALE
6086,DETACHED DUPLEX,Ajah,4,4,4,"65,000,000",SALE
