,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
4120,DETACHED BUNGALOW,Ikeja,5,0,0,"6,000,000",RENT
4121,LAND FOR,Ajah,beds,baths,Toilets,"10,800,000",RENT
4122,DETACHED DUPLEX,Ogudu,4,baths,Toilets,"3,000,000",RENT
4123,MINI FLAT,Okota,1,1,1,"500,000",RENT
4124,FLAT ,Maryland,3,3,4,"1,300,000",RENT
4125,SELF CONTAIN,Ikoyi,4,4,5,"205,000,000",SALE
4126,APARTMENT FOR,Island,0,0,0,"5,000,000",RENT
4127,BLOCKS OF,Ilupeju,3,3,4,"10,800,000",RENT
4128,BLOCKS OF,Maryland,3,3,4,"1,300,000",RENT
4129,TERRACED DUPLEX,Ikoyi,3,3,5,"10,000,000",RENT
4130,APARTMENT FOR,Island,beds,baths,Toilets,"20,000,000",RENT
4131,HOUSE FOR,Ikeja,beds,baths,Toilets,"13,000,000",RENT
4132,MINI FLAT,Island,1,1,2,"2,250,000",RENT
4133,COMMERCIAL PROPERTY,Ikoyi,beds,baths,2,"3,000,000",RENT
4134,MINI FLAT,Isolo,1,1,1,"300,000",RENT
4135,SEMI DETACHED,Ojodu,5,5,6,"1,500,000",RENT
4136,APARTMENT FOR,Island,0,0,0,"7,000,000",RENT
4137,BLOCKS OF,Ojota,3,2,3,"550,000",RENT
4138,FLAT ,Lekki,3,3,4,"3,500,000",RENT
4139,HOUSE FOR,Ikeja,0,0,0,"3,800,000",RENT
4140,DUPLEX HOUSE,Lekki,0,0,0,"4,500,000",RENT
4141,MINI FLAT,Lekki,1,1,1,"700,000",RENT
4142,FLAT ,Lekki,4,4,5,"2,500,000",RENT
4143,FLAT ,Yaba,3,3,4,"1,300,000",RENT
4144,MASSIONETTE HOUSE,Ikeja,3,3,4,"3,000,000",RENT
4145,MINI FLAT,Gbagada,1,1,1,"700,000",RENT
4146,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
4147,OFFICE SPACE,Lekki,3,3,4,"3,500,000",RENT
4148,SEMI DETACHED,Lekki,5,6,5,"7,000,000",RENT
4149,COMMERCIAL PROPERTY,Ojodu,beds,baths,Toilets,"6,000,000",RENT
4150,FLAT ,Ikeja,4,4,4,"1,700,000",RENT
4151,TERRACED DUPLEX,Lekki,3,2,3,"2,000,000",RENT
4152,BLOCKS OF,Island,3,3,4,"3,500,000",RENT
4153,TERRACED DUPLEX,Island,4,0,0,"4,000,000",RENT
4154,FLAT ,Ajah,3,3,4,"1,500,000",RENT
4155,FLAT ,Ogudu,3,4,4,"2,500,000",RENT
4156,BLOCKS OF,Lekki,2,2,3,"2,300,000",RENT
4157,TERRACED DUPLEX,Lekki,3,3,5,"1,600,000",RENT
4158,FLAT ,Ajah,3,3,4,"1,200,000",RENT
4159,FLAT ,Ojodu,2,2,2,"900,000",RENT
4160,BLOCKS OF,Gbagada,3,3,4,"1,400,000",RENT
4161,MINI FLAT,Odofin,1,1,2,"450,000",RENT
4162,FLAT ,Ikosi,3,3,3,"1,300,000",RENT
4163,FLAT ,Ojodu,3,baths,Toilets,"1,500,000",RENT
4164,MINI FLAT,Ogudu,1,1,1,"300,000",RENT
4165,FLAT ,Okota,2,2,2,"400,000",RENT
4166,FLAT ,Maryland,2,2,3,"600,000",RENT
4167,SEMI DETACHED,Lekki,4,4,5,"60,000,000",SALE
4168,FLAT ,Ajah,0,1,2,"350,000",RENT
4169,BLOCKS OF,Isolo,3,3,4,"700,000",RENT
4170,PROPERTY FOR,Ilupeju,beds,baths,Toilets,"1,300",RENT
4171,BLOCKS OF,EstateIlupeju,3,baths,Toilets,"2,700,000",RENT
4172,MINI FLAT,Ajah,1,1,1,"650,000",RENT
4173,MINI FLAT,Lekki,1,1,0,"2,000,000",RENT
4174,BLOCKS OF,Shomolu,3,3,4,"950,000",RENT
4175,FLAT ,Egba,2,3,3,350,RENT
4176,MINI FLAT,Ikeja,1,1,1,"400,000",RENT
4177,BLOCKS OF,Yaba,3,3,4,"1,800,000",RENT
4178,SHARED APARTMENT,Ojodu,3,2,3,"1,000,000",RENT
4179,SHARED APARTMENT,Ojodu,3,2,3,"1,000,000",RENT
4180,FLAT ,Ilupeju,beds,baths,Toilets,"350,000",RENT
4181,BLOCKS OF,Yaba,3,3,4,"1,600,000",RENT
4182,MINI FLAT,Ilupeju,1,1,1,"500,000",RENT
4183,COMMERCIAL PROPERTY,Yaba,beds,baths,Toilets,"900,000",RENT
4184,HOUSE FOR,Lekki,beds,baths,Toilets,"20,000,000",RENT
4185,HOUSE FOR,Ikoyi,beds,baths,Toilets,"15,000,000",RENT
4186,MINI FLAT,Ogba,1,1,1,"250,000",RENT
4187,FLAT ,Ogba,2,2,3,"750,000",RENT
4188,SEMI DETACHED,Lekki,4,4,5,"60,000,000",SALE
4189,MINI FLAT,Ikoyi,1,1,1,"900,000",RENT
4190,FLAT ,Ogba,3,3,3,"850,000",RENT
4191,MINI FLAT,Ogba,1,1,1,"350,000",RENT
4192,FLAT ,Ajah,3,4,4,"1,100,000",RENT
4193,DETACHED DUPLEX,Lekki,4,4,4,"4,000,000",RENT
4194,FLAT ,Odofin,2,2,3,"750,000",RENT
4195,BLOCKS OF,Lekki,7,9,10,"3,000,000",RENT
4196,FLAT ,Odofin,3,3,4,"1,200,000",RENT
4197,MINI FLAT,Ajah,1,1,1,"350,000",RENT
4198,MINI FLAT,Ikosi,1,1,1,"600,000",RENT
4199,MINI FLAT,Lekki,1,1,1,"650,000",RENT
4200,HOUSE FOR,Ajah,beds,baths,Toilets,"3,500,000",RENT
4201,FLAT ,Ajah,3,baths,Toilets,"900,000",RENT
4202,FLAT ,Okota,2,3,3,"850,000",RENT
